par_pctile,kid_race,gender,n_kir,kir
44,AIAN,F,900,38.260002
44,AIAN,M,900,43.98
45,White,F,66500,44.029999
45,White,M,70000,54.650002
45,Black,F,13500,45.969997
45,Black,M,13000,43.82
45,Asian,F,3000,57.110001
45,Asian,M,3200,59.920002
45,Hispanic,F,14000,45.84
45,Hispanic,M,14000,53.369999
45,AIAN,F,900,40.810001
45,AIAN,M,950,44.490002
46,White,F,67500,44.34
46,White,M,70500,54.989998
46,Black,F,13000,46.139999
46,Black,M,13000,44.32
46,Asian,F,2900,57.400002
46,Asian,M,3000,60.689999
46,Hispanic,F,13500,45.77
46,Hispanic,M,13500,53.960003
46,AIAN,F,900,39.719997
46,AIAN,M,900,44.029999
47,White,F,68000,44.360001
47,White,M,71500,55.07
47,Black,F,12500,46.790001
47,Black,M,12500,44.360001
47,Asian,F,2900,57.580002
47,Asian,M,3000,60.57
47,Hispanic,F,13500,45.869999
47,Hispanic,M,13500,53.609997
47,AIAN,F,900,40.139999
47,AIAN,M,900,47.18
48,White,F,69500,44.440002
48,White,M,72500,55.299995
48,Black,F,12000,46.259998
48,Black,M,12000,44.639999
48,Asian,F,3000,56.610001
48,Asian,M,3100,60.259998
48,Hispanic,F,13000,46.149998
48,Hispanic,M,13000,53.98
48,AIAN,F,850,39.169998
48,AIAN,M,900,46.689999
49,White,F,69500,44.650002
49,White,M,73500,55.620003
49,Black,F,12000,46.970001
49,Black,M,11500,44.77
49,Asian,F,2900,58.350002
49,Asian,M,3100,60.84
49,Hispanic,F,12500,46.529999
49,Hispanic,M,12500,54.09
49,AIAN,F,800,39.57
49,AIAN,M,900,45.959999
50,White,F,70500,44.990002
50,White,M,74000,55.82
50,Black,F,11500,47.34
50,Black,M,11000,44.980003
50,Asian,F,2900,58.259998
50,Asian,M,2900,61.559998
50,Hispanic,F,12500,46.77
50,Hispanic,M,12500,54.52
50,AIAN,F,800,38.93
50,AIAN,M,900,45.450001
51,White,F,71000,45.010002
51,White,M,75000,56.010002
51,Black,F,11000,47.18
51,Black,M,11000,45.330002
51,Asian,F,2800,58.819996
51,Asian,M,3100,60.91
51,Hispanic,F,12000,46.75
51,Hispanic,M,12500,54.420002
51,AIAN,F,850,38.690002
51,AIAN,M,800,45.57
52,White,F,71500,45.349998
52,White,M,76000,56.349998
52,Black,F,11000,47.82
52,Black,M,10500,45.599998
52,Asian,F,2800,57.380001
52,Asian,M,3000,61.139999
52,Hispanic,F,11500,46.790001
52,Hispanic,M,12000,54.350002
52,AIAN,F,800,39.719997
52,AIAN,M,800,44.580002
53,White,F,73000,45.419998
53,White,M,76000,56.68
53,Black,F,10500,47.310001
53,Black,M,10500,45.68
53,Asian,F,2800,58.439999
53,Asian,M,3000,61.290001
53,Hispanic,F,11500,47.279999
53,Hispanic,M,11500,54.949997
53,AIAN,F,750,38.77
53,AIAN,M,750,46.079998
54,White,F,73500,45.829998
54,White,M,77000,57
54,Black,F,10000,47.720001
54,Black,M,9900,45.759998
54,Asian,F,2900,58.289997
54,Asian,M,3000,61.43
54,Hispanic,F,11500,47.310001
54,Hispanic,M,11000,54.66
54,AIAN,F,700,39.59
54,AIAN,M,800,45.419998
55,White,F,74000,46
55,White,M,78000,57.139999
55,Black,F,9900,47.830002
55,Black,M,9900,45.869999
55,Asian,F,2800,58.200001
55,Asian,M,2900,61.839996
55,Hispanic,F,11000,47.459999
55,Hispanic,M,11000,55.709999
55,AIAN,F,750,40.509998
55,AIAN,M,750,48.16
56,White,F,74000,46.149998
56,White,M,78500,57.550003
56,Black,F,9600,48.07
56,Black,M,9600,46.57
56,Asian,F,2900,58.350002
56,Asian,M,3000,61.839996
56,Hispanic,F,11000,47.68
56,Hispanic,M,11000,55.400002
56,AIAN,F,750,40.549999
56,AIAN,M,800,46.740002
57,White,F,75500,46.169998
57,White,M,79000,57.82
57,Black,F,9400,48.439999
57,Black,M,9300,46.09
57,Asian,F,2700,58.359997
57,Asian,M,2900,61.849998
57,Hispanic,F,10500,48.080002
57,Hispanic,M,10500,54.949997
57,AIAN,F,700,40.540001
57,AIAN,M,750,48.75
58,White,F,75500,46.669998
58,White,M,79500,58
58,Black,F,9200,48.09
58,Black,M,9100,46.869999
58,Asian,F,2900,59.579998
58,Asian,M,3000,63.050003
